,GDP,GDP,GDP,Unemployment Rate,Unemployment Rate,Unemployment Rate,Federal Funds Rate,Federal Funds Rate,Federal Funds Rate
2022-02-01,,,,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,0.08
2022-03-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,0.2
2022-04-01,2024-09-22,2024-09-22,25544.273,2024-09-22,2024-09-22,3.7,2024-09-22,2024-09-22,0.33
2022-05-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,0.77
2022-06-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,1.21
2022-07-01,2024-09-22,2024-09-22,25994.639,2024-09-22,2024-09-22,3.5,2024-09-22,2024-09-22,1.68
2022-08-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,2.33
2022-09-01,,,,2024-09-22,2024-09-22,3.5,2024-09-22,2024-09-22,2.56
2022-10-01,2024-09-22,2024-09-22,26408.405,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,3.08
2022-11-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,3.78
2022-12-01,,,,2024-09-22,2024-09-22,3.5,2024-09-22,2024-09-22,4.1
2023-01-01,2024-09-22,2024-09-22,26813.601,2024-09-22,2024-09-22,3.4,2024-09-22,2024-09-22,4.33
2023-02-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,4.57
2023-03-01,,,,2024-09-22,2024-09-22,3.5,2024-09-22,2024-09-22,4.65
2023-04-01,2024-09-22,2024-09-22,27063.012,2024-09-22,2024-09-22,3.4,2024-09-22,2024-09-22,4.83
2023-05-01,,,,2024-09-22,2024-09-22,3.7,2024-09-22,2024-09-22,5.06
2023-06-01,,,,2024-09-22,2024-09-22,3.6,2024-09-22,2024-09-22,5.08
2023-07-01,2024-09-22,2024-09-22,27610.128,2024-09-22,2024-09-22,3.5,2024-09-22,2024-09-22,5.12
2023-08-01,,,,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,5.33
2023-09-01,,,,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,5.33
2023-10-01,2024-09-22,2024-09-22,27956.998,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,5.33
2023-11-01,,,,2024-09-22,2024-09-22,3.7,2024-09-22,2024-09-22,5.33
2023-12-01,,,,2024-09-22,2024-09-22,3.7,2024-09-22,2024-09-22,5.33
2024-01-01,2024-09-22,2024-09-22,28269.174,2024-09-22,2024-09-22,3.7,2024-09-22,2024-09-22,5.33
2024-02-01,,,,2024-09-22,2024-09-22,3.9,2024-09-22,2024-09-22,5.33
2024-03-01,,,,2024-09-22,2024-09-22,3.8,2024-09-22,2024-09-22,5.33
2024-04-01,2024-09-22,2024-09-22,28652.337,2024-09-22,2024-09-22,3.9,2024-09-22,2024-09-22,5.33
2024-05-01,,,,2024-09-22,2024-09-22,4.0,2024-09-22,2024-09-22,5.33
2024-06-01,,,,2024-09-22,2024-09-22,4.1,2024-09-22,2024-09-22,5.33
2024-07-01,,,,2024-09-22,2024-09-22,4.3,2024-09-22,2024-09-22,5.33
2024-08-01,,,,2024-09-22,2024-09-22,4.2,2024-09-22,2024-09-22,5.33
